Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Capital Goods,,12.50%,Kotak Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,9.66%,Kotak Flexicap Fund,Flexi Cap Fund
Construction Materials,,7.52%,Kotak Flexicap Fund,Flexi Cap Fund
Information Technology,,7.29%,Kotak Flexicap Fund,Flexi Cap Fund
Financial Services,,38.50%,LIC MF Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,11.87%,LIC MF Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,9.52%,LIC MF Flexi Cap Fund,Flexi Cap Fund
Information Technology,,6.78%,LIC MF Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,6.57%,LIC MF Flexi Cap Fund,Flexi Cap Fund
Financial Services,,30.86%,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund
Information Technology,,11.28%,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund
Consumer Durables,,7.80%,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,6.86%,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund
Healthcare,,6.04%,Mahindra Manulife Flexi Cap Fund,Flexi Cap Fund
Financial Services,,31.38%,Mirae Asset Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.28%,Mirae Asset Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.64%,Mirae Asset Flexi Cap Fund,Flexi Cap Fund
Current Assets,,7.20%,Mirae Asset Flexi Cap Fund,Flexi Cap Fund
Healthcare,,5.78%,Mirae Asset Flexi Cap Fund,Flexi Cap Fund
Financial Services,,29.42%,Motilal Oswal Flexi Cap Fund,Flexi Cap Fund
Information Technology,,17.79%,Motilal Oswal Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,16.64%,Motilal Oswal Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,12.10%,Motilal Oswal Flexi Cap Fund,Flexi Cap Fund
Chemicals,,5.31%,Motilal Oswal Flexi Cap Fund,Flexi Cap Fund
Financial Services,,31.14%,Navi Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,12.87%,Navi Flexi Cap Fund,Flexi Cap Fund
Information Technology,,11.14%,Navi Flexi Cap Fund,Flexi Cap Fund
Healthcare,,8.92%,Navi Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,7.13%,Navi Flexi Cap Fund,Flexi Cap Fund
Financial Services,,30.76%,Nippon India Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,8.49%,Nippon India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,7.96%,Nippon India Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,7.75%,Nippon India Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,7.30%,Nippon India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,30.00%,NJ Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,14.08%,NJ Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,13.48%,NJ Flexi Cap Fund,Flexi Cap Fund
Financial Services,,11.51%,NJ Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.35%,NJ Flexi Cap Fund,Flexi Cap Fund
Financial Services,,34.25%,Parag Parikh Flexi Cap Fund,Flexi Cap Fund
Information Technology,,14.86%,Parag Parikh Flexi Cap Fund,Flexi Cap Fund
Current Assets,,13.33%,Parag Parikh Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.03%,Parag Parikh Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,5.39%,Parag Parikh Flexi Cap Fund,Flexi Cap Fund
Financial Services,,31.60%,PGIM India Flexi Cap Fund,Flexi Cap Fund
Healthcare,,8.95%,PGIM India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,8.57%,PGIM India Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.46%,PGIM India Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,7.70%,PGIM India Flexi Cap Fund,Flexi Cap Fund
Financial Services,,26.99%,Quant Flexi Cap Fund,Flexi Cap Fund
Metals & Mining,,13.88%,Quant Flexi Cap Fund,Flexi Cap Fund
Healthcare,,13.55%,Quant Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,13.22%,Quant Flexi Cap Fund,Flexi Cap Fund
Power,,9.07%,Quant Flexi Cap Fund,Flexi Cap Fund
Information Technology,,32.24%,Samco Flexi Cap Fund,Flexi Cap Fund
Financial Services,,23.00%,Samco Flexi Cap Fund,Flexi Cap Fund
Healthcare,,10.83%,Samco Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,9.25%,Samco Flexi Cap Fund,Flexi Cap Fund
Current Assets,,7.31%,Samco Flexi Cap Fund,Flexi Cap Fund
Financial Services,,31.13%,SBI Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.55%,SBI Flexicap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,7.30%,SBI Flexicap Fund,Flexi Cap Fund
Information Technology,,6.83%,SBI Flexicap Fund,Flexi Cap Fund
Services,,6.46%,SBI Flexicap Fund,Flexi Cap Fund
Financial Services,,20.86%,Shriram Flexi Cap Fund,Flexi Cap Fund
Information Technology,,14.86%,Shriram Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,9.84%,Shriram Flexi Cap Fund,Flexi Cap Fund
Healthcare,,7.28%,Shriram Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.23%,Shriram Flexi Cap Fund,Flexi Cap Fund
Financial Services,,34.39%,Sundaram Flexicap Fund,Flexi Cap Fund
Information Technology,,10.55%,Sundaram Flexicap Fund,Flexi Cap Fund
Healthcare,,8.35%,Sundaram Flexicap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,7.44%,Sundaram Flexicap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,6.61%,Sundaram Flexicap Fund,Flexi Cap Fund
Financial Services,,31.85%,Tata Flexi Cap Fund,Flexi Cap Fund
Information Technology,,7.83%,Tata Flexi Cap Fund,Flexi Cap Fund
Healthcare,,7.06%,Tata Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,6.91%,Tata Flexi Cap Fund,Flexi Cap Fund
Current Assets,,6.04%,Tata Flexi Cap Fund,Flexi Cap Fund
Financial Services,,30.95%,Taurus Flexi Cap Fund,Flexi Cap Fund
Information Technology,,14.60%,Taurus Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,8.28%,Taurus Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.24%,Taurus Flexi Cap Fund,Flexi Cap Fund
Healthcare,,6.57%,Taurus Flexi Cap Fund,Flexi Cap Fund
Financial Services,,28.13%,Union Flexi Cap Fund,Flexi Cap Fund
Information Technology,,10.56%,Union Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,9.25%,Union Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,7.57%,Union Flexi Cap Fund,Flexi Cap Fund
Current Assets,,6.04%,Union Flexi Cap Fund,Flexi Cap Fund
Financial Services,,23.95%,UTI Flexi Cap Fund,Flexi Cap Fund
Information Technology,,14.51%,UTI Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,12.90%,UTI Flexi Cap Fund,Flexi Cap Fund
Healthcare,,11.46%,UTI Flexi Cap Fund,Flexi Cap Fund
Consumer Durables,,10.24%,UTI Flexi Cap Fund,Flexi Cap Fund
Financial Services,,33.61%,WhiteOak Capital Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.87%,WhiteOak Capital Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,9.27%,WhiteOak Capital Flexi Cap Fund,Flexi Cap Fund
Healthcare,,9.00%,WhiteOak Capital Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,7.32%,WhiteOak Capital Flexi Cap Fund,Flexi Cap Fund
Financial Services,,61.46%,Aditya Birla Sun Life Floating Rate Fund,Floater Fund
Sovereign,,23.94%,Aditya Birla Sun Life Floating Rate Fund,Floater Fund
Current Assets,,5.39%,Aditya Birla Sun Life Floating Rate Fund,Floater Fund
Realty,,3.88%,Aditya Birla Sun Life Floating Rate Fund,Floater Fund
Construction,,3.34%,Aditya Birla Sun Life Floating Rate Fund,Floater Fund
Sovereign,,74.41%,Axis Floater Fund,Floater Fund
Financial Services,,16.15%,Axis Floater Fund,Floater Fund
Current Assets,,7.26%,Axis Floater Fund,Floater Fund
Services,,1.80%,Axis Floater Fund,Floater Fund
Mutual Funds,,0.38%,Axis Floater Fund,Floater Fund
Financial Services,,86.53%,Bandhan Floating Rate Fund,Floater Fund
Sovereign,,10.53%,Bandhan Floating Rate Fund,Floater Fund
Current Assets,,2.50%,Bandhan Floating Rate Fund,Floater Fund
Mutual Funds,,0.42%,Bandhan Floating Rate Fund,Floater Fund
Miscellaneous,,0.03%,Bandhan Floating Rate Fund,Floater Fund
Sovereign,,68.09%,DSP Floater Fund,Floater Fund
Financial Services,,29.76%,DSP Floater Fund,Floater Fund
Current Assets,,1.80%,DSP Floater Fund,Floater Fund
Mutual Funds,,0.35%,DSP Floater Fund,Floater Fund
Sovereign,,79.46%,Franklin India Floating Rate Fund,Floater Fund
Financial Services,,26.71%,Franklin India Floating Rate Fund,Floater Fund
Mutual Funds,,0.25%,Franklin India Floating Rate Fund,Floater Fund
Current Assets,,-6.42%,Franklin India Floating Rate Fund,Floater Fund
Financial Services,,62.37%,HDFC Floating Rate Debt Fund,Floater Fund
Sovereign,,31.74%,HDFC Floating Rate Debt Fund,Floater Fund
Services,,2.00%,HDFC Floating Rate Debt Fund,Floater Fund
Power,,1.85%,HDFC Floating Rate Debt Fund,Floater Fund
"Oil, Gas & Consumable Fuels",,1.28%,HDFC Floating Rate Debt Fund,Floater Fund
Sovereign,,59.63%,ICICI Prudential Floating Interest Fund,Floater Fund
Financial Services,,26.43%,ICICI Prudential Floating Interest Fund,Floater Fund
Construction,,4.76%,ICICI Prudential Floating Interest Fund,Floater Fund
Current Assets,,4.36%,ICICI Prudential Floating Interest Fund,Floater Fund
Consumer Durables,,1.29%,ICICI Prudential Floating Interest Fund,Floater Fund
Financial Services,,67.44%,Kotak Floating Rate Fund,Floater Fund
Sovereign,,18.95%,Kotak Floating Rate Fund,Floater Fund
Power,,4.79%,Kotak Floating Rate Fund,Floater Fund
Services,,4.51%,Kotak Floating Rate Fund,Floater Fund
Chemicals,,3.29%,Kotak Floating Rate Fund,Floater Fund
Financial Services,,66.68%,Nippon India Floating Rate Fund,Floater Fund
Sovereign,,16.27%,Nippon India Floating Rate Fund,Floater Fund
Current Assets,,4.21%,Nippon India Floating Rate Fund,Floater Fund
Services,,4.00%,Nippon India Floating Rate Fund,Floater Fund
Telecommunication,,3.46%,Nippon India Floating Rate Fund,Floater Fund
Sovereign,,54.05%,SBI Floating Rate Debt Fund,Floater Fund
Current Assets,,24.21%,SBI Floating Rate Debt Fund,Floater Fund
Financial Services,,18.08%,SBI Floating Rate Debt Fund,Floater Fund
Realty,,1.75%,SBI Floating Rate Debt Fund,Floater Fund
Construction,,1.55%,SBI Floating Rate Debt Fund,Floater Fund
Financial Services,,62.46%,Tata Floating Rate Fund,Floater Fund
Construction,,11.57%,Tata Floating Rate Fund,Floater Fund
Sovereign,,9.70%,Tata Floating Rate Fund,Floater Fund
Current Assets,,6.98%,Tata Floating Rate Fund,Floater Fund
Power,,5.15%,Tata Floating Rate Fund,Floater Fund
Financial Services,,66.90%,UTI Floater Fund,Floater Fund
Sovereign,,24.57%,UTI Floater Fund,Floater Fund
Current Assets,,4.72%,UTI Floater Fund,Floater Fund
Power,,3.50%,UTI Floater Fund,Floater Fund
Mutual Funds,,0.31%,UTI Floater Fund,Floater Fund
Financial Services,,73.02%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,FMP
Construction,,9.97%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,FMP
Realty,,9.17%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,FMP
Services,,7.58%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,FMP
Current Assets,,0.26%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,FMP
Financial Services,,99.90%,Aditya Birla Sun Life Fixed Maturity Plan - Series UR,FMP
Current Assets,,0.10%,Aditya Birla Sun Life Fixed Maturity Plan - Series UR,FMP
Sovereign,,96.44%,Aditya Birla Sun Life Fixed Term Plan - Series TI,FMP
Current Assets,,3.56%,Aditya Birla Sun Life Fixed Term Plan - Series TI,FMP
Sovereign,,95.94%,Aditya Birla Sun Life Fixed Term Plan - Series TQ,FMP
Current Assets,,4.06%,Aditya Birla Sun Life Fixed Term Plan - Series TQ,FMP
Financial Services,,34.07%,360 ONE Focused Equity Fund,Focused Fund
Information Technology,,13.25%,360 ONE Focused Equity Fund,Focused Fund
Automobile and Auto Components,,12.57%,360 ONE Focused Equity Fund,Focused Fund
Telecommunication,,7.04%,360 ONE Focused Equity Fund,Focused Fund
Capital Goods,,6.71%,360 ONE Focused Equity Fund,Focused Fund
Financial Services,,35.52%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Information Technology,,12.43%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Automobile and Auto Components,,9.70%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,7.38%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Construction,,6.39%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Financial Services,,27.19%,Axis Focused 25 Fund,Focused Fund
Consumer Services,,14.06%,Axis Focused 25 Fund,Focused Fund
Information Technology,,11.83%,Axis Focused 25 Fund,Focused Fund
Chemicals,,10.15%,Axis Focused 25 Fund,Focused Fund
Healthcare,,9.52%,Axis Focused 25 Fund,Focused Fund
Financial Services,,33.27%,Bandhan Focused Equity Fund,Focused Fund
Information Technology,,11.54%,Bandhan Focused Equity Fund,Focused Fund
Capital Goods,,10.48%,Bandhan Focused Equity Fund,Focused Fund
Automobile and Auto Components,,9.31%,Bandhan Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,5.95%,Bandhan Focused Equity Fund,Focused Fund
Financial Services,,31.17%,Baroda BNP Paribas Focused Fund,Focused Fund
Automobile and Auto Components,,13.78%,Baroda BNP Paribas Focused Fund,Focused Fund
Capital Goods,,9.16%,Baroda BNP Paribas Focused Fund,Focused Fund
Information Technology,,7.35%,Baroda BNP Paribas Focused Fund,Focused Fund
Construction,,6.86%,Baroda BNP Paribas Focused Fund,Focused Fund
Financial Services,,31.04%,Canara Robeco Focused Equity Fund,Focused Fund
Healthcare,,9.16%,Canara Robeco Focused Equity Fund,Focused Fund
Information Technology,,8.84%,Canara Robeco Focused Equity Fund,Focused Fund
Automobile and Auto Components,,7.05%,Canara Robeco Focused Equity Fund,Focused Fund
Consumer Services,,6.70%,Canara Robeco Focused Equity Fund,Focused Fund
Financial Services,,31.89%,DSP Focus Fund,Focused Fund
Capital Goods,,15.60%,DSP Focus Fund,Focused Fund
Information Technology,,9.39%,DSP Focus Fund,Focused Fund
Healthcare,,8.76%,DSP Focus Fund,Focused Fund
Automobile and Auto Components,,8.27%,DSP Focus Fund,Focused Fund
Financial Services,,29.31%,Edelweiss Focused Fund,Focused Fund
Information Technology,,13.23%,Edelweiss Focused Fund,Focused Fund
Capital Goods,,10.80%,Edelweiss Focused Fund,Focused Fund
Automobile and Auto Components,,8.53%,Edelweiss Focused Fund,Focused Fund
Construction,,6.67%,Edelweiss Focused Fund,Focused Fund
Financial Services,,32.64%,Franklin India Focused Equity Fund,Focused Fund
Healthcare,,8.77%,Franklin India Focused Equity Fund,Focused Fund
Capital Goods,,7.58%,Franklin India Focused Equity Fund,Focused Fund
Information Technology,,7.51%,Franklin India Focused Equity Fund,Focused Fund
Construction,,6.02%,Franklin India Focused Equity Fund,Focused Fund
Financial Services,,35.73%,HDFC Focused 30 Fund,Focused Fund
Healthcare,,12.94%,HDFC Focused 30 Fund,Focused Fund
Current Assets,,12.07%,HDFC Focused 30 Fund,Focused Fund
Realty,,7.63%,HDFC Focused 30 Fund,Focused Fund
Power,,7.15%,HDFC Focused 30 Fund,Focused Fund
Financial Services,,31.00%,HSBC Focused Fund,Focused Fund
Information Technology,,12.45%,HSBC Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,9.11%,HSBC Focused Fund,Focused Fund
Construction,,8.29%,HSBC Focused Fund,Focused Fund
Capital Goods,,8.02%,HSBC Focused Fund,Focused Fund
Financial Services,,20.11%,ICICI Prudential Focused Equity Fund,Focused Fund
Healthcare,,15.27%,ICICI Prudential Focused Equity Fund,Focused Fund
Capital Goods,,10.69%,ICICI Prudential Focused Equity Fund,Focused Fund
Consumer Services,,6.42%,ICICI Prudential Focused Equity Fund,Focused Fund
Automobile and Auto Components,,6.41%,ICICI Prudential Focused Equity Fund,Focused Fund
Financial Services,,29.25%,Focused Fund
Information Technology,,12.71%,Focused Fund
Consumer Services,,10.05%,Focused Fund
Healthcare,,10.03%,Focused Fund
Construction,,9.08%,Focused Fund
Financial Services,,29.25%,Invesco India Focused Fund,Focused Fund
Information Technology,,12.71%,Invesco India Focused Fund,Focused Fund
Consumer Services,,10.05%,Invesco India Focused Fund,Focused Fund
Healthcare,,10.03%,Invesco India Focused Fund,Focused Fund
Construction,,9.08%,Invesco India Focused Fund,Focused Fund
Financial Services,,22.23%,ITI Focused Equity Fund,Focused Fund
Capital Goods,,20.11%,ITI Focused Equity Fund,Focused Fund
Automobile and Auto Components,,10.86%,ITI Focused Equity Fund,Focused Fund
Construction,,6.99%,ITI Focused Equity Fund,Focused Fund
Information Technology,,6.05%,ITI Focused Equity Fund,Focused Fund
Financial Services,,18.77%,JM Focused Fund,Focused Fund
Automobile and Auto Components,,16.04%,JM Focused Fund,Focused Fund
Capital Goods,,10.59%,JM Focused Fund,Focused Fund
Consumer Services,,8.84%,JM Focused Fund,Focused Fund
Information Technology,,5.91%,JM Focused Fund,Focused Fund
Financial Services,,25.85%,Kotak Focused Equity Fund,Focused Fund
Automobile and Auto Components,,10.41%,Kotak Focused Equity Fund,Focused Fund
Capital Goods,,10.29%,Kotak Focused Equity Fund,Focused Fund
Information Technology,,9.05%,Kotak Focused Equity Fund,Focused Fund
Healthcare,,7.70%,Kotak Focused Equity Fund,Focused Fund
Financial Services,,34.55%,LIC MF Focused 30 Equity Fund,Focused Fund
Fast Moving Consumer Goods,,17.54%,LIC MF Focused 30 Equity Fund,Focused Fund
Information Technology,,10.63%,LIC MF Focused 30 Equity Fund,Focused Fund
Automobile and Auto Components,,8.93%,LIC MF Focused 30 Equity Fund,Focused Fund
Consumer Durables,,6.99%,LIC MF Focused 30 Equity Fund,Focused Fund
Financial Services,,24.00%,Mahindra Manulife Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,13.68%,Mahindra Manulife Focused Fund,Focused Fund
Information Technology,,10.79%,Mahindra Manulife Focused Fund,Focused Fund
Fast Moving Consumer Goods,,7.88%,Mahindra Manulife Focused Fund,Focused Fund
Automobile and Auto Components,,5.73%,Mahindra Manulife Focused Fund,Focused Fund
Financial Services,,37.44%,Mirae Asset Focused Fund,Focused Fund
Information Technology,,10.62%,Mirae Asset Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,8.38%,Mirae Asset Focused Fund,Focused Fund
Consumer Services,,8.00%,Mirae Asset Focused Fund,Focused Fund
Automobile and Auto Components,,5.78%,Mirae Asset Focused Fund,Focused Fund
Financial Services,,39.72%,Motilal Oswal Focused Fund,Focused Fund
Consumer Services,,12.30%,Motilal Oswal Focused Fund,Focused Fund
Information Technology,,9.87%,Motilal Oswal Focused Fund,Focused Fund
Capital Goods,,8.50%,Motilal Oswal Focused Fund,Focused Fund
Automobile and Auto Components,,8.10%,Motilal Oswal Focused Fund,Focused Fund
Financial Services,,35.79%,Nippon India Focused Equity Fund,Focused Fund
Information Technology,,11.36%,Nippon India Focused Equity Fund,Focused Fund
Consumer Services,,10.49%,Nippon India Focused Equity Fund,Focused Fund
Capital Goods,,7.61%,Nippon India Focused Equity Fund,Focused Fund
Automobile and Auto Components,,6.74%,Nippon India Focused Equity Fund,Focused Fund
Financial Services,,20.24%,Quant Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,18.96%,Quant Focused Fund,Focused Fund
Fast Moving Consumer Goods,,18.31%,Quant Focused Fund,Focused Fund
Power,,13.14%,Quant Focused Fund,Focused Fund
Healthcare,,12.63%,Quant Focused Fund,Focused Fund
Financial Services,,42.34%,SBI Focused Equity Fund,Focused Fund
Telecommunication,,9.77%,SBI Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,9.21%,SBI Focused Equity Fund,Focused Fund
Services,,9.14%,SBI Focused Equity Fund,Focused Fund
Healthcare,,5.33%,SBI Focused Equity Fund,Focused Fund
Financial Services,,31.26%,Sundaram Focused Fund,Focused Fund
Information Technology,,12.63%,Sundaram Focused Fund,Focused Fund
Consumer Services,,12.61%,Sundaram Focused Fund,Focused Fund
Capital Goods,,10.77%,Sundaram Focused Fund,Focused Fund
Healthcare,,7.33%,Sundaram Focused Fund,Focused Fund
Financial Services,,31.46%,Tata Focused Equity Fund,Focused Fund
Information Technology,,14.45%,Tata Focused Equity Fund,Focused Fund
Healthcare,,10.13%,Tata Focused Equity Fund,Focused Fund
Capital Goods,,7.41%,Tata Focused Equity Fund,Focused Fund
Power,,6.38%,Tata Focused Equity Fund,Focused Fund
Financial Services,,27.09%,Union Focused Fund,Focused Fund
Automobile and Auto Components,,10.73%,Union Focused Fund,Focused Fund
Information Technology,,8.98%,Union Focused Fund,Focused Fund
Capital Goods,,8.87%,Union Focused Fund,Focused Fund
Construction,,6.49%,Union Focused Fund,Focused Fund
Financial Services,,31.14%,UTI Focused Fund,Focused Fund
Automobile and Auto Components,,10.44%,UTI Focused Fund,Focused Fund
Information Technology,,10.42%,UTI Focused Fund,Focused Fund
Consumer Services,,9.94%,UTI Focused Fund,Focused Fund
Fast Moving Consumer Goods,,7.22%,UTI Focused Fund,Focused Fund
Mutual Funds,,98.86%,Aditya Birla Sun Life Asset Allocator FoF,FoF - Domestic
Current Assets,,1.14%,Aditya Birla Sun Life Asset Allocator FoF,FoF - Domestic
Mutual Funds,,99.17%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,FoF - Domestic
Current Assets,,0.83%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,FoF - Domestic
Mutual Funds,,99.34%,Aditya Birla Sun Life Financial Planning FoF Aggressive,FoF - Domestic
Current Assets,,0.66%,Aditya Birla Sun Life Financial Planning FoF Aggressive,FoF - Domestic
Mutual Funds,,99.26%,Aditya Birla Sun Life Financial Planning FoF Conservative,FoF - Domestic
Current Assets,,0.74%,Aditya Birla Sun Life Financial Planning FoF Conservative,FoF - Domestic
Mutual Funds,,97.55%,Aditya Birla Sun Life Multi - Index Fund of Funds,FoF - Domestic
Current Assets,,2.45%,Aditya Birla Sun Life Multi - Index Fund of Funds,FoF - Domestic
